date, valuePerTh
2021-04-18,0.434
2021-04-19,0.408
2021-04-20,0.448
2021-04-21,0.372
2021-04-22,0.449
2021-04-23,0.339
2021-04-24,0.331
2021-04-25,0.289
2021-04-26,0.295
2021-04-27,0.375
2021-04-28,0.334
2021-04-29,0.331
2021-04-30,0.361
2021-05-01,0.357
2021-05-02,0.42
2021-05-03,0.389
2021-05-04,0.362
2021-05-05,0.348
2021-05-06,0.403
2021-05-07,0.379
2021-05-08,0.373
2021-05-09,0.383
2021-05-10,0.373
2021-05-11,0.37
2021-05-12,0.371
2021-05-13,0.272
2021-05-14,0.258
2021-05-15,0.243
2021-05-16,0.266
2021-05-17,0.242
2021-05-18,0.208
2021-05-19,0.255
2021-05-20,0.226
2021-05-21,0.228
2021-05-22,0.227
2021-05-23,0.187
2021-05-24,0.22
2021-05-25,0.203
2021-05-26,0.226
2021-05-27,0.193
2021-05-28,0.205
2021-05-29,0.194
2021-05-30,0.232
2021-05-31,0.233
2021-06-01,0.225
2021-06-02,0.25
2021-06-03,0.233
2021-06-04,0.224
2021-06-05,0.219
2021-06-06,0.231
2021-06-07,0.212
2021-06-08,0.214
2021-06-09,0.176
2021-06-10,0.253
2021-06-11,0.224
2021-06-12,0.242
2021-06-13,0.241
2021-06-14,0.245
2021-06-15,0.261
2021-06-16,0.267
2021-06-17,0.253
2021-06-18,0.23
2021-06-19,0.217
2021-06-20,0.226
2021-06-21,0.225
2021-06-22,0.196
2021-06-23,0.241
2021-06-24,0.239
2021-06-25,0.229
2021-06-26,0.183
2021-06-27,0.17
2021-06-28,0.306
2021-06-29,0.23
2021-06-30,0.243
2021-07-01,0.257
2021-07-02,0.209
2021-07-03,0.377
2021-07-04,0.293
2021-07-05,0.336
2021-07-06,0.333
2021-07-07,0.282
2021-07-08,0.322
2021-07-09,0.29
2021-07-10,0.322
2021-07-11,0.275
2021-07-12,0.306
2021-07-13,0.311
2021-07-14,0.325
2021-07-15,0.248
2021-07-16,0.297
2021-07-17,0.262
2021-07-18,0.298
2021-07-19,0.333
2021-07-20,0.228
2021-07-21,0.306
2021-07-22,0.314
2021-07-23,0.294
2021-07-24,0.326
2021-07-25,0.321
2021-07-26,0.336
2021-07-27,0.391
2021-07-28,0.344
2021-07-29,0.395
2021-07-30,0.359
2021-07-31,0.362
2021-08-01,0.346
2021-08-02,0.354
2021-08-03,0.352
2021-08-04,0.312
2021-08-05,0.372
2021-08-06,0.355
2021-08-07,0.397
2021-08-08,0.374
2021-08-09,0.377
2021-08-10,0.416
2021-08-11,0.37
2021-08-12,0.414
2021-08-13,0.37
2021-08-14,0.409
2021-08-15,0.405
2021-08-16,0.352
2021-08-17,0.392
2021-08-18,0.32
2021-08-19,0.404
2021-08-20,0.379
2021-08-21,0.417
2021-08-22,0.394
2021-08-23,0.464
2021-08-24,0.335
2021-08-25,0.38
2021-08-26,0.329
2021-08-27,0.335
2021-08-28,0.341
2021-08-29,0.361
2021-08-30,0.327
2021-08-31,0.35
2021-09-01,0.35
2021-09-02,0.371
2021-09-03,0.363
2021-09-04,0.363
2021-09-05,0.37
2021-09-06,0.387
2021-09-07,0.337
2021-09-08,0.312
2021-09-09,0.314
2021-09-10,0.306
2021-09-11,0.331
2021-09-12,0.314
2021-09-13,0.323
2021-09-14,0.315
2021-09-15,0.323
2021-09-16,0.319
2021-09-17,0.349
2021-09-18,0.331
2021-09-19,0.324
2021-09-20,0.318
2021-09-21,0.243
2021-09-22,0.303
2021-09-23,0.327
2021-09-24,0.279
2021-09-25,0.263
2021-09-26,0.295
2021-09-27,0.307
2021-09-28,0.274
